Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, -77.35234832763672, 137.71060180664062, 122.87067413330078, -48.607479095458984, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512195267303E9, 2021-05-10 14:53:39.526
1.0, -64.49457550048828, 128.50296020507812, 120.83616638183594, -37.9412841796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512195734203E9, 2021-05-10 14:53:39.573
1.0, -85.06776428222656, 145.2352752685547, 122.54904174804688, -24.68708038330078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512195734203E9, 2021-05-10 14:53:39.573
2.0, -73.8742446899414, 153.60891723632812, 132.74026489257812, -45.903533935546875, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512195747216E9, 2021-05-10 14:53:39.574
2.0, -93.35164642333984, 123.08010864257812, 111.9352035522461, -48.80195617675781, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512195747216E9, 2021-05-10 14:53:39.574
3.0, -93.5049819946289, 138.64930725097656, 112.48123168945312, -38.214298248291016, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512195754743E9, 2021-05-10 14:53:39.575
3.0, -72.72235107421875, 158.2650909423828, 135.15625, -30.005216598510742, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512195754743E9, 2021-05-10 14:53:39.575
4.0, -72.03421020507812, 139.82363891601562, 140.63519287109375, -23.62120819091797, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512195862727E9, 2021-05-10 14:53:39.586
4.0, -82.74528503417969, 143.19703674316406, 131.01617431640625, -22.903146743774414, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512195862727E9, 2021-05-10 14:53:39.586
5.0, -66.88810729980469, 135.38812255859375, 136.424072265625, -17.47281265258789, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512195869703E9, 2021-05-10 14:53:39.586
5.0, -61.809326171875, 134.6363983154297, 127.4109115600586, -49.74814987182617, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512195869703E9, 2021-05-10 14:53:39.586
6.0, -79.70848846435547, 143.47752380371094, 130.90771484375, -41.47549057006836, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620651219587728E9, 2021-05-10 14:53:39.587
6.0, -71.73502349853516, 142.6061248779297, 122.42188262939453, -21.306209564208984, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620651219587728E9, 2021-05-10 14:53:39.587
7.0, -46.16158676147461, 130.19338989257812, 129.299560546875, -14.16300106048584, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512195999124E9, 2021-05-10 14:53:39.599
7.0, -97.73480224609375, 106.84519958496094, 107.16309356689453, -50.387672424316406, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512195999124E9, 2021-05-10 14:53:39.599
8.0, -40.42083740234375, 117.68343353271484, 149.07241821289062, -10.692374229431152, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512196155775E9, 2021-05-10 14:53:39.615
8.0, -80.95013427734375, 118.2182388305664, 105.00517272949219, -33.954551696777344, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512196155775E9, 2021-05-10 14:53:39.615
9.0, -80.84915924072266, 152.1615753173828, 108.31497955322266, -26.47475242614746, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512196164076E9, 2021-05-10 14:53:39.616
9.0, -79.74214935302734, 135.0365753173828, 111.8566665649414, -53.862037658691406, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512196164076E9, 2021-05-10 14:53:39.616
10.0, -89.87353515625, 151.63050842285156, 132.1493682861328, -23.449172973632812, -0.08000000566244125, 0.0, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620651219646348E9, 2021-05-10 14:53:39.646
10.0, -95.40858459472656, 127.08927917480469, 105.88404846191406, -54.07895278930664, -0.08000000566244125, 0.0, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620651219646348E9, 2021-05-10 14:53:39.646
11.0, -86.47023010253906, 140.3659210205078, 110.17745208740234, -46.083045959472656, -0.08000000566244125, 0.0, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512196470716E9, 2021-05-10 14:53:39.647
11.0, -80.35175323486328, 162.33409118652344, 127.7923812866211, -34.350982666015625, -0.08000000566244125, 0.0, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512196470716E9, 2021-05-10 14:53:39.647
12.0, -57.672996520996094, 148.56378173828125, 137.49368286132812, -13.856328964233398, -0.08000000566244125, 0.0, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512196478312E9, 2021-05-10 14:53:39.647
12.0, -44.078460693359375, 110.87307739257812, 134.8196563720703, -4.652435779571533, -0.08000000566244125, 0.0, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512196478312E9, 2021-05-10 14:53:39.647
13.0, -133.03945922851562, 115.731201171875, 97.08406066894531, -85.553955078125, -0.08000000566244125, 0.0, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6206512196599572E9, 2021-05-10 14:53:39.659
