,Delta,Theta,Alpha,Beta
T7,21.893327376615083,15.916504336135183,41.84844520191932,14.779700660041861
F8,41.67610725602539,13.021323161023627,22.314437209932965,10.483398397147061
Cz,20.233961392767355,19.688961795051647,39.60743445545589,16.188928496581386
P4,13.430820489611381,12.238765213307012,58.79371626873042,12.48328192234293
