Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, -92.25211334228516, -21.410926818847656, 36.796875, 178.66810607910156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209896378773556E9, 2021-05-14 12:53:57.877
1.0, -99.53743743896484, -28.96178436279297, 35.40937423706055, 173.32752990722656, 0.0, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209896379083133E9, 2021-05-14 12:53:57.908
1.0, -68.47008514404297, -9.405848503112793, 49.815467834472656, 201.2346649169922, 0.0, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209896379083133E9, 2021-05-14 12:53:57.908
2.0, -70.07450866699219, -0.9013158679008484, 52.280059814453125, 208.8229217529297, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209896379096603E9, 2021-05-14 12:53:57.909
2.0, -87.8652114868164, -12.210773468017578, 46.756229400634766, 183.02134704589844, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209896379096603E9, 2021-05-14 12:53:57.909
3.0, -104.07393646240234, -18.007617950439453, 34.97554397583008, 168.77981567382812, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209896379104652E9, 2021-05-14 12:53:57.910
3.0, -86.72827911376953, 1.7053943872451782, 43.47259521484375, 198.9234161376953, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209896379104652E9, 2021-05-14 12:53:57.910
4.0, -72.32966613769531, 14.349996566772461, 56.04240036010742, 215.00497436523438, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209896379368896E9, 2021-05-14 12:53:57.936
4.0, -81.61209869384766, -12.087356567382812, 51.236629486083984, 177.72190856933594, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209896379368896E9, 2021-05-14 12:53:57.936
5.0, -84.64515686035156, -21.616621017456055, 41.928016662597656, 176.7458038330078, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209896379377797E9, 2021-05-14 12:53:57.937
