Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, 101.20169067382812, 117.432861328125, 335.8916320800781, -124.1478500366211, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203099369263744E9, 2021-05-06 16:05:36.926
1.0, 116.55023956298828, 130.5673828125, 346.5989685058594, -116.73536682128906, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203099369397464E9, 2021-05-06 16:05:36.939
1.0, 75.81151580810547, 118.45758819580078, 344.3251037597656, -114.19597625732422, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203099369397464E9, 2021-05-06 16:05:36.939
2.0, 98.37432861328125, 122.3919677734375, 345.009521484375, -116.34642028808594, 0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203099369570947E9, 2021-05-06 16:05:36.957
2.0, 95.8349380493164, 117.68717193603516, 345.39471435546875, -115.62088012695312, 0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203099369570947E9, 2021-05-06 16:05:36.957
3.0, 101.9795913696289, 123.700927734375, 354.8267517089844, -112.73367309570312, 0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203099369578192E9, 2021-05-06 16:05:36.957
3.0, 82.78642272949219, 117.1336669921875, 343.2255859375, -116.78024291992188, 0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203099369578192E9, 2021-05-06 16:05:36.957
4.0, 90.37467956542969, 112.01374053955078, 342.0362854003906, -119.04662322998047, 0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620309936969591E9, 2021-05-06 16:05:36.969
4.0, 104.16743469238281, 113.5994644165039, 352.13775634765625, -113.40685272216797, 0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620309936969591E9, 2021-05-06 16:05:36.969
5.0, 105.18094635009766, 113.73410034179688, 353.79827880859375, -118.27246856689453, 0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203099369852731E9, 2021-05-06 16:05:36.985
