Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, 339.04437255859375, -409.6312561035156, 237.1582794189453, 265.1663818359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012053662477E9, 2021-05-06 13:40:05.366
1.0, 339.2724914550781, -408.0679626464844, 237.42007446289062, 263.3487854003906, 0.0, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012053964748E9, 2021-05-06 13:40:05.396
1.0, 342.93011474609375, -407.72015380859375, 237.1844482421875, 257.9708251953125, 0.0, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012053964748E9, 2021-05-06 13:40:05.396
2.0, 346.0604248046875, -396.9529724121094, 248.99879455566406, 264.631591796875, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012053978188E9, 2021-05-06 13:40:05.397
2.0, 343.96234130859375, -405.0685729980469, 241.79200744628906, 263.3226013183594, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012053978188E9, 2021-05-06 13:40:05.397
3.0, 342.10736083984375, -401.4969482421875, 240.886962890625, 262.5708923339844, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012053985243E9, 2021-05-06 13:40:05.398
3.0, 339.81103515625, -400.58441162109375, 247.3569793701172, 266.0826721191406, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012053985243E9, 2021-05-06 13:40:05.398
4.0, 341.2995300292969, -400.40118408203125, 250.01605224609375, 271.00811767578125, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012054093597E9, 2021-05-06 13:40:05.409
4.0, 345.96319580078125, -407.88470458984375, 244.93353271484375, 265.5403747558594, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012054093597E9, 2021-05-06 13:40:05.409
5.0, 348.99249267578125, -401.8485107421875, 243.41139221191406, 271.7411193847656, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620301205425186E9, 2021-05-06 13:40:05.425
5.0, 345.1104736328125, -407.0432434082031, 238.36251831054688, 256.5496520996094, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620301205425186E9, 2021-05-06 13:40:05.425
6.0, 345.6602478027344, -404.9638366699219, 239.3124542236328, 251.29884338378906, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012054258993E9, 2021-05-06 13:40:05.425
6.0, 353.41680908203125, -399.28668212890625, 241.52647399902344, 259.7547607421875, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012054258993E9, 2021-05-06 13:40:05.425
7.0, 355.3166809082031, -398.89398193359375, 248.02268981933594, 269.78143310546875, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012054558911E9, 2021-05-06 13:40:05.455
7.0, 341.26214599609375, -410.3006896972656, 240.56158447265625, 254.81060791015625, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012054558911E9, 2021-05-06 13:40:05.455
8.0, 347.7433776855469, -409.3208312988281, 243.40391540527344, 263.4049072265625, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012054566188E9, 2021-05-06 13:40:05.456
8.0, 342.0624694824219, -415.9815979003906, 235.13499450683594, 261.1572265625, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012054566188E9, 2021-05-06 13:40:05.456
9.0, 356.2179870605469, -408.6962585449219, 243.5834197998047, 268.15081787109375, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012054573228E9, 2021-05-06 13:40:05.457
9.0, 344.1081848144531, -410.9140319824219, 239.8509979248047, 260.5102233886719, -0.09600000083446503, 0.14400000870227814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203012054573228E9, 2021-05-06 13:40:05.457
