Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, -155.77244567871094, 187.382080078125, 180.22390747070312, -5.907172203063965, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620391860310105E9, 2021-05-07 14:51:00.310
1.0, -170.63107299804688, 174.47567749023438, 175.6387939453125, -8.65225887298584, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918603234763E9, 2021-05-07 14:51:00.323
1.0, -178.8177032470703, 163.1737060546875, 169.1799774169922, -22.7292423248291, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918603234763E9, 2021-05-07 14:51:00.323
2.0, -150.98910522460938, 175.3844757080078, 185.53829956054688, -12.590373039245605, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918603400404E9, 2021-05-07 14:51:00.340
2.0, -165.06610107421875, 174.9207305908203, 181.1588897705078, -20.4703426361084, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918603400404E9, 2021-05-07 14:51:00.340
3.0, -156.28480529785156, 181.11026000976562, 181.0616455078125, -24.232681274414062, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918603408327E9, 2021-05-07 14:51:00.340
3.0, -170.39170837402344, 180.0556182861328, 173.34249877929688, -37.217613220214844, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918603408327E9, 2021-05-07 14:51:00.340
4.0, -160.6268310546875, 183.7356719970703, 179.68910217285156, -31.697521209716797, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918603531435E9, 2021-05-07 14:51:00.353
4.0, -159.400146484375, 179.77137756347656, 180.72879028320312, -37.288673400878906, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918603531435E9, 2021-05-07 14:51:00.353
5.0, -157.5750732421875, 185.4747314453125, 190.31790161132812, -28.051118850708008, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918603688989E9, 2021-05-07 14:51:00.368
5.0, -172.0709228515625, 179.02340698242188, 175.24984741210938, -38.934226989746094, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918603688989E9, 2021-05-07 14:51:00.368
6.0, -173.9408721923828, 190.01123046875, 171.1434326171875, -31.30857276916504, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620391860369702E9, 2021-05-07 14:51:00.369
6.0, -161.86474609375, 174.77113342285156, 169.8195037841797, -22.68810272216797, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620391860369702E9, 2021-05-07 14:51:00.369
7.0, -187.0791473388672, 164.43031311035156, 160.7091064453125, -25.242454528808594, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604002604E9, 2021-05-07 14:51:00.400
7.0, -184.96609497070312, 163.82070922851562, 157.4890594482422, -25.328472137451172, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604002604E9, 2021-05-07 14:51:00.400
8.0, -172.1270294189453, 166.75279235839844, 163.37939453125, -24.61041259765625, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620391860400949E9, 2021-05-07 14:51:00.400
8.0, -164.68836975097656, 170.86294555664062, 160.3313751220703, -31.0692195892334, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620391860400949E9, 2021-05-07 14:51:00.400
9.0, -164.60983276367188, 171.46131896972656, 165.71310424804688, -26.94784927368164, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604017057E9, 2021-05-07 14:51:00.401
9.0, -182.3444366455078, 158.4315185546875, 152.07742309570312, -39.618629455566406, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604017057E9, 2021-05-07 14:51:00.401
10.0, -167.7550811767578, 173.39111328125, 160.73155212402344, -38.5041389465332, 0.04800000041723251, 0.01600000075995922, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604131076E9, 2021-05-07 14:51:00.413
10.0, -149.46322631835938, 178.4362335205078, 173.3125762939453, -26.012874603271484, 0.04800000041723251, 0.01600000075995922, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604131076E9, 2021-05-07 14:51:00.413
11.0, -166.59571838378906, 173.3050994873047, 171.9923858642578, -31.319791793823242, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604289587E9, 2021-05-07 14:51:00.428
11.0, -172.34019470214844, 177.85655212402344, 172.7067108154297, -33.9564208984375, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604289587E9, 2021-05-07 14:51:00.428
12.0, -158.0949249267578, 176.6036834716797, 178.88876342773438, -31.981754302978516, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604295456E9, 2021-05-07 14:51:00.429
12.0, -153.70053100585938, 185.6355438232422, 187.07540893554688, -34.40147018432617, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604295456E9, 2021-05-07 14:51:00.429
13.0, -151.9876708984375, 180.99432373046875, 190.84523010253906, -38.234867095947266, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604431283E9, 2021-05-07 14:51:00.443
13.0, -162.44442749023438, 178.36517333984375, 184.6556854248047, -45.89044189453125, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604431283E9, 2021-05-07 14:51:00.443
14.0, -159.13087463378906, 175.9678955078125, 180.90457153320312, -41.12955093383789, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620391860459293E9, 2021-05-07 14:51:00.459
14.0, -154.67665100097656, 190.28050231933594, 191.4174346923828, -31.43572998046875, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620391860459293E9, 2021-05-07 14:51:00.459
15.0, -168.52175903320312, 175.94546508789062, 179.04583740234375, -43.32113265991211, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604738517E9, 2021-05-07 14:51:00.473
15.0, -170.00650024414062, 173.5519256591797, 171.15838623046875, -43.06681823730469, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203918604738517E9, 2021-05-07 14:51:00.473
16.0, -164.84544372558594, 198.79998779296875, 173.6753387451172, -35.95726776123047, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620391860474558E9, 2021-05-07 14:51:00.474
16.0, -165.36154174804688, 178.86631774902344, 167.28759765625, -30.3474178314209, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620391860474558E9, 2021-05-07 14:51:00.474
17.0, -174.9618682861328, 155.85472106933594, 163.8917694091797, -35.72913360595703, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620391860488824E9, 2021-05-07 14:51:00.488
